EmployeeNumber,Department,JobRole,Attrition_Prob,Risk,ONETRole,SkillGap,SkillGapCount,Engagement,Recommendation
226,Research & Development,Manager,0.13392324339855458,LOW,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
227,Research & Development,Research Scientist,0.13446717951031617,LOW,Biological Scientists,,0,,No immediate recommendation
228,Sales,Sales Executive,0.345548947569254,MEDIUM,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8,,Upskill in Active Learning
230,Sales,Sales Executive,0.17893505250259428,LOW,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7,,Upskill in Active Learning
231,Research & Development,Research Scientist,0.19255972183258582,LOW,Biological Scientists,,0,,No immediate recommendation
233,Research & Development,Research Scientist,0.6367078579291024,HIGH,Biological Scientists,,0,,No immediate recommendation
235,Sales,Sales Representative,0.9654777576031462,HIGH,Sales Representatives of Services,,0,,No immediate recommendation
238,Research & Development,Laboratory Technician,0.6933990086201698,HIGH,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7,,Upskill in Active Learning
239,Research & Development,Laboratory Technician,0.10837168543336145,LOW,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8,,Upskill in Active Learning
240,Sales,Sales Executive,0.6467585218952023,HIGH,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
241,Research & Development,Research Scientist,0.14170421175758208,LOW,Biological Scientists,,0,,No immediate recommendation
242,Research & Development,Research Scientist,0.10666438648568782,LOW,Biological Scientists,,0,,No immediate recommendation
243,Research & Development,Laboratory Technician,0.7088489505567641,HIGH,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9,,Upskill in Active Learning
244,Sales,Sales Executive,0.21721075440773455,LOW,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
245,Research & Development,Laboratory Technician,0.3367191437964764,MEDIUM,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
246,Research & Development,Research Scientist,0.5616311223656525,MEDIUM,Biological Scientists,,0,,No immediate recommendation
247,Research & Development,Research Scientist,0.21334147209365997,LOW,Biological Scientists,,0,,No immediate recommendation
248,Sales,Sales Representative,0.9067137824792307,HIGH,Sales Representatives of Services,,0,,No immediate recommendation
249,Research & Development,Laboratory Technician,0.2410146101467592,LOW,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
250,Research & Development,Manufacturing Director,0.044133599722692735,LOW,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",8,,Upskill in Active Learning
252,Research & Development,Research Scientist,0.03305805379644032,LOW,Biological Scientists,,0,,No immediate recommendation
253,Research & Development,Manager,0.09919428294190051,LOW,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
254,Research & Development,Research Director,0.005661799017449768,LOW,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8,,Upskill in Active Learning
256,Research & Development,Manufacturing Director,0.06923086856584501,LOW,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7,,Upskill in Active Learning
258,Research & Development,Healthcare Representative,0.030228381443489657,LOW,Sales Representatives of Services,,0,,No immediate recommendation
259,Research & Development,Manager,0.03973946926397349,LOW,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
260,Research & Development,Research Scientist,0.10387297294802211,LOW,Biological Scientists,,0,,No immediate recommendation
261,Research & Development,Manufacturing Director,0.9053265331219763,HIGH,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8,,Upskill in Active Learning
262,Research & Development,Research Scientist,0.002783316354936729,LOW,Biological Scientists,,0,,No immediate recommendation
264,Research & Development,Manager,0.18292333835254523,LOW,General and Operations Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8,,Upskill in Active Learning
267,Research & Development,Research Scientist,0.5023423638061496,MEDIUM,Biological Scientists,,0,,No immediate recommendation
269,Research & Development,Laboratory Technician,0.7691876982366737,HIGH,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8,,Upskill in Active Learning
270,Research & Development,Manufacturing Director,0.03430971766978138,LOW,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",8,,Upskill in Active Learning
271,Research & Development,Manufacturing Director,0.18302011886423697,LOW,Industrial Production Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8,,Upskill in Active Learning
273,Research & Development,Manufacturing Director,0.16957202289844694,LOW,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
274,Research & Development,Manufacturing Director,0.7114059306645695,HIGH,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science",7,,Upskill in Active Learning
275,Research & Development,Manufacturing Director,0.03634159200844082,LOW,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7,,Upskill in Active Learning
277,Research & Development,Research Scientist,0.28424900150563287,LOW,Biological Scientists,,0,,No immediate recommendation
281,Research & Development,Laboratory Technician,0.7214138975035743,HIGH,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9,,Upskill in Active Learning
282,Research & Development,Healthcare Representative,0.8017971728651425,HIGH,Sales Representatives of Services,,0,,No immediate recommendation
283,Sales,Sales Executive,0.13340561876001272,LOW,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
284,Research & Development,Research Scientist,0.4559579959314227,MEDIUM,Biological Scientists,,0,,No immediate recommendation
286,Research & Development,Laboratory Technician,0.6068238494405459,HIGH,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
287,Research & Development,Healthcare Representative,0.07886173182473934,LOW,Sales Representatives of Services,,0,,No immediate recommendation
288,Research & Development,Healthcare Representative,0.061966184689718186,LOW,Sales Representatives of Services,,0,,No immediate recommendation
291,Sales,Sales Executive,0.5149682470638647,MEDIUM,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8,,Upskill in Active Learning
292,Research & Development,Manufacturing Director,0.058245871832593075,LOW,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9,,Upskill in Active Learning
293,Sales,Sales Executive,0.21700089669280812,LOW,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8,,Upskill in Active Learning
296,Research & Development,Research Director,0.03267244386356864,LOW,Natural Sciences Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8,,Upskill in Active Learning
297,Research & Development,Research Scientist,0.6638365811241667,HIGH,Biological Scientists,,0,,No immediate recommendation
298,Sales,Manager,0.18415906364122958,LOW,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8,,Upskill in Active Learning
299,Sales,Sales Executive,0.9204122811057899,HIGH,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9,,Upskill in Active Learning
300,Research & Development,Research Scientist,0.16862887563932474,LOW,Biological Scientists,,0,,No immediate recommendation
302,Sales,Sales Executive,0.20775458860229742,LOW,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
303,Sales,Sales Executive,0.051200836908278584,LOW,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",8,,Upskill in Active Learning
304,Research & Development,Laboratory Technician,0.1930602004484971,LOW,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8,,Upskill in Active Learning
305,Research & Development,Research Scientist,0.37624317808150587,MEDIUM,Biological Scientists,,0,,No immediate recommendation
306,Research & Development,Research Director,0.02901832142666465,LOW,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10,,Upskill in Active Learning
307,Sales,Sales Executive,0.05441225887522225,LOW,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
308,Research & Development,Manufacturing Director,0.05211933360328233,LOW,Industrial Production Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Science, Speaking",6,,Upskill in Active Learning
309,Research & Development,Research Scientist,0.07359245711189114,LOW,Biological Scientists,,0,,No immediate recommendation
311,Sales,Sales Representative,0.5228819025566152,MEDIUM,Sales Representatives of Services,,0,,No immediate recommendation
312,Sales,Sales Executive,0.2798747684556254,LOW,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8,,Upskill in Active Learning
314,Sales,Sales Executive,0.26908873931723704,LOW,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8,,Upskill in Active Learning
315,Research & Development,Research Scientist,0.700259148655835,HIGH,Biological Scientists,,0,,No immediate recommendation
316,Research & Development,Laboratory Technician,0.5220111011367802,MEDIUM,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10,,Upskill in Active Learning
319,Research & Development,Manager,0.08976901643127898,LOW,General and Operations Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8,,Upskill in Active Learning
321,Human Resources,Human Resources,0.3270233035542141,MEDIUM,Human Resources Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
323,Sales,Manager,0.01924112831457384,LOW,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
325,Research & Development,Laboratory Technician,0.7821036938265442,HIGH,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9,,Upskill in Active Learning
327,Sales,Manager,0.1310276320615765,LOW,General and Operations Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10,,Upskill in Active Learning
328,Research & Development,Laboratory Technician,0.5679163707985148,MEDIUM,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8,,Upskill in Active Learning
329,Sales,Manager,0.46615646356312757,MEDIUM,General and Operations Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",7,,Upskill in Active Learning
330,Sales,Sales Representative,0.4775984478306751,MEDIUM,Sales Representatives of Services,,0,,No immediate recommendation
331,Research & Development,Laboratory Technician,0.7599982986703051,HIGH,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8,,Upskill in Active Learning
332,Research & Development,Laboratory Technician,0.19897182772313604,LOW,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8,,Upskill in Active Learning
333,Sales,Sales Executive,0.31435136965713495,MEDIUM,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
334,Research & Development,Research Scientist,0.23702590640628837,LOW,Biological Scientists,,0,,No immediate recommendation
335,Research & Development,Research Scientist,0.21695597294153166,LOW,Biological Scientists,,0,,No immediate recommendation
336,Research & Development,Manager,0.007708380759473711,LOW,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
337,Research & Development,Research Director,0.3133094124843024,MEDIUM,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9,,Upskill in Active Learning
338,Research & Development,Research Scientist,0.16074213735595488,LOW,Biological Scientists,,0,,No immediate recommendation
339,Research & Development,Manufacturing Director,0.1576441562398016,LOW,Industrial Production Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science",6,,Upskill in Active Learning
340,Research & Development,Research Scientist,0.18295400852325777,LOW,Biological Scientists,,0,,No immediate recommendation
341,Research & Development,Manufacturing Director,0.18252725578495432,LOW,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9,,Upskill in Active Learning
342,Research & Development,Manufacturing Director,0.30503950314191713,MEDIUM,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
343,Research & Development,Healthcare Representative,0.22446003686575305,LOW,Sales Representatives of Services,,0,,No immediate recommendation
346,Research & Development,Research Scientist,0.12820294219365633,LOW,Biological Scientists,,0,,No immediate recommendation
347,Research & Development,Research Scientist,0.584740358005446,MEDIUM,Biological Scientists,,0,,No immediate recommendation
349,Sales,Sales Executive,0.18233666895772233,LOW,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10,,Upskill in Active Learning
350,Research & Development,Manufacturing Director,0.10455878782612246,LOW,Industrial Production Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8,,Upskill in Active Learning
351,Research & Development,Laboratory Technician,0.5778494809341969,MEDIUM,Biological Technicians,"Active Learning, Learning Strategies, Mathematics, Monitoring, Science, Speaking",6,,Upskill in Active Learning
352,Research & Development,Research Director,0.011536077185658786,LOW,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9,,Upskill in Active Learning
353,Research & Development,Research Scientist,0.2222400590839944,LOW,Biological Scientists,,0,,No immediate recommendation
355,Research & Development,Laboratory Technician,0.808481182981403,HIGH,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
359,Research & Development,Laboratory Technician,0.682921319903957,HIGH,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7,,Upskill in Active Learning
361,Sales,Sales Executive,0.04541416078816288,LOW,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
362,Research & Development,Laboratory Technician,0.6540529739091268,HIGH,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8,,Upskill in Active Learning
363,Sales,Manager,0.695353098035369,HIGH,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8,,Upskill in Active Learning
364,Research & Development,Laboratory Technician,0.7526158448901267,HIGH,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
366,Sales,Sales Executive,0.311013007910743,MEDIUM,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10,,Upskill in Active Learning
367,Research & Development,Healthcare Representative,0.2414718497292436,LOW,Sales Representatives of Services,,0,,No immediate recommendation
369,Research & Development,Healthcare Representative,0.023128802522653376,LOW,Sales Representatives of Services,,0,,No immediate recommendation
372,Research & Development,Healthcare Representative,0.21923371454091672,LOW,Sales Representatives of Services,,0,,No immediate recommendation
373,Research & Development,Laboratory Technician,0.05427485196330857,LOW,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8,,Upskill in Active Learning
374,Research & Development,Manager,0.047986986214900315,LOW,General and Operations Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10,,Upskill in Active Learning
376,Research & Development,Manager,0.5595794653989189,MEDIUM,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7,,Upskill in Active Learning
377,Research & Development,Research Scientist,0.04048138055255136,LOW,Biological Scientists,,0,,No immediate recommendation
378,Sales,Sales Executive,0.127712184043025,LOW,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7,,Upskill in Active Learning
379,Research & Development,Research Scientist,0.19417036402074472,LOW,Biological Scientists,,0,,No immediate recommendation
380,Research & Development,Research Director,0.034332384806881035,LOW,Natural Sciences Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8,,Upskill in Active Learning
381,Research & Development,Manager,0.41966397805856737,MEDIUM,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7,,Upskill in Active Learning
382,Sales,Sales Executive,0.7312101098723168,HIGH,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8,,Upskill in Active Learning
384,Research & Development,Manufacturing Director,0.26190131099642044,LOW,Industrial Production Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
385,Research & Development,Research Director,0.02655035158440178,LOW,Natural Sciences Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
386,Research & Development,Research Director,0.013718180088634901,LOW,Natural Sciences Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
387,Sales,Sales Executive,0.1545134778387975,LOW,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10,,Upskill in Active Learning
388,Sales,Sales Executive,0.23372217641404378,LOW,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",7,,Upskill in Active Learning
389,Research & Development,Laboratory Technician,0.3755463983573733,MEDIUM,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9,,Upskill in Active Learning
390,Research & Development,Healthcare Representative,0.839018286004351,HIGH,Sales Representatives of Services,,0,,No immediate recommendation
391,Research & Development,Research Scientist,0.022786246714447168,LOW,Biological Scientists,,0,,No immediate recommendation
392,Research & Development,Laboratory Technician,0.7520270189932613,HIGH,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8,,Upskill in Active Learning
393,Research & Development,Healthcare Representative,0.17382586108173897,LOW,Sales Representatives of Services,,0,,No immediate recommendation
394,Research & Development,Laboratory Technician,0.9080531509204952,HIGH,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
395,Research & Development,Research Scientist,0.05455062163883521,LOW,Biological Scientists,,0,,No immediate recommendation
396,Research & Development,Research Director,0.6053738063906656,HIGH,Natural Sciences Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
397,Research & Development,Research Scientist,0.5001268008927776,MEDIUM,Biological Scientists,,0,,No immediate recommendation
399,Sales,Sales Representative,0.6539615721736676,HIGH,Sales Representatives of Services,,0,,No immediate recommendation
401,Sales,Sales Executive,0.837409568161503,HIGH,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science",6,,Upskill in Active Learning
403,Research & Development,Research Scientist,0.3712211454195329,MEDIUM,Biological Scientists,,0,,No immediate recommendation
404,Sales,Sales Executive,0.5300644102626486,MEDIUM,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
405,Research & Development,Laboratory Technician,0.7206583630933474,HIGH,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8,,Upskill in Active Learning
406,Sales,Sales Executive,0.2361178853435562,LOW,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7,,Upskill in Active Learning
407,Research & Development,Laboratory Technician,0.3167010227693986,MEDIUM,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
408,Research & Development,Manufacturing Director,0.09038082067372938,LOW,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
410,Sales,Manager,0.04338973851613064,LOW,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
411,Sales,Sales Representative,0.9085637242632972,HIGH,Sales Representatives of Services,,0,,No immediate recommendation
412,Research & Development,Healthcare Representative,0.09521635505422014,LOW,Sales Representatives of Services,,0,,No immediate recommendation
416,Sales,Sales Executive,0.42465111789866133,MEDIUM,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9,,Upskill in Active Learning
417,Research & Development,Healthcare Representative,0.0031471185462805,LOW,Sales Representatives of Services,,0,,No immediate recommendation
419,Research & Development,Laboratory Technician,0.2565593448772402,LOW,Biological Technicians,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",7,,Upskill in Active Learning
420,Sales,Sales Executive,0.11720242859803283,LOW,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9,,Upskill in Active Learning
421,Research & Development,Research Director,0.11236307797836133,LOW,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9,,Upskill in Active Learning
422,Research & Development,Healthcare Representative,0.05516098818238016,LOW,Sales Representatives of Services,,0,,No immediate recommendation
423,Research & Development,Research Scientist,0.25913767432563184,LOW,Biological Scientists,,0,,No immediate recommendation
424,Human Resources,Human Resources,0.8709962453250625,HIGH,Human Resources Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10,,Upskill in Active Learning
425,Research & Development,Laboratory Technician,0.699152439996539,HIGH,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
426,Research & Development,Research Scientist,0.37047415889029606,MEDIUM,Biological Scientists,,0,,No immediate recommendation
428,Research & Development,Manager,0.2860594541470114,LOW,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8,,Upskill in Active Learning
429,Research & Development,Manager,0.5913484685632818,MEDIUM,General and Operations Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8,,Upskill in Active Learning
430,Research & Development,Laboratory Technician,0.1491403748302345,LOW,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9,,Upskill in Active Learning
431,Research & Development,Healthcare Representative,0.3612708518300654,MEDIUM,Sales Representatives of Services,,0,,No immediate recommendation
433,Research & Development,Research Scientist,0.4485999133587811,MEDIUM,Biological Scientists,,0,,No immediate recommendation
434,Research & Development,Research Scientist,0.7125497142351732,HIGH,Biological Scientists,,0,,No immediate recommendation
436,Sales,Sales Executive,0.8842732920164472,HIGH,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8,,Upskill in Active Learning
437,Sales,Sales Executive,0.61370532877627,HIGH,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8,,Upskill in Active Learning
438,Sales,Sales Executive,0.022855537573517548,LOW,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8,,Upskill in Active Learning
439,Research & Development,Research Scientist,0.23094507728789399,LOW,Biological Scientists,,0,,No immediate recommendation
440,Research & Development,Research Scientist,0.8657837618948642,HIGH,Biological Scientists,,0,,No immediate recommendation
441,Research & Development,Research Scientist,0.024847075144666813,LOW,Biological Scientists,,0,,No immediate recommendation
442,Research & Development,Manufacturing Director,0.34274679166768407,MEDIUM,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9,,Upskill in Active Learning
444,Research & Development,Manager,0.6622934269447195,HIGH,General and Operations Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10,,Upskill in Active Learning
445,Sales,Sales Executive,0.6710332375850943,HIGH,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8,,Upskill in Active Learning
446,Sales,Sales Executive,0.6448770287450702,HIGH,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8,,Upskill in Active Learning
447,Research & Development,Research Director,0.030061275704899977,LOW,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science",7,,Upskill in Active Learning
