O*NET-SOC Code,Title,Workplace Example,Hot Technology,In Demand
15-1221.00,Computer and Information Research Scientists,C,Y,Y
15-1221.00,Computer and Information Research Scientists,C#,Y,N
15-1221.00,Computer and Information Research Scientists,C++,Y,Y
15-1221.00,Computer and Information Research Scientists,Charm++,N,N
15-1221.00,Computer and Information Research Scientists,Chatbot software,N,N
15-1221.00,Computer and Information Research Scientists,Chef,Y,N
15-1221.00,Computer and Information Research Scientists,Clustermatic,N,N
15-1221.00,Computer and Information Research Scientists,CMake,N,N
15-1221.00,Computer and Information Research Scientists,Computational statistics software,N,N
15-1221.00,Computer and Information Research Scientists,Computer aided design and drafting CADD software,N,N
15-1221.00,Computer and Information Research Scientists,Data visualization software,N,N
15-1221.00,Computer and Information Research Scientists,Django,Y,N
15-1221.00,Computer and Information Research Scientists,Docker,Y,Y
15-1221.00,Computer and Information Research Scientists,Doxygen,N,N
15-1221.00,Computer and Information Research Scientists,Eclipse IDE,Y,N
15-1221.00,Computer and Information Research Scientists,Eiffel,N,N
15-1221.00,Computer and Information Research Scientists,Elasticsearch,Y,N
15-1221.00,Computer and Information Research Scientists,Embarcadero JBuilder,N,N
15-1221.00,Computer and Information Research Scientists,ESRI ArcGIS software,Y,N
15-1221.00,Computer and Information Research Scientists,Extensible markup language XML,Y,N
15-1221.00,Computer and Information Research Scientists,Extensible stylesheet language transformations XSLT,N,N
15-1221.00,Computer and Information Research Scientists,Formula translation/translator FORTRAN,N,N
15-1221.00,Computer and Information Research Scientists,Geographic information system GIS software,N,N
15-1221.00,Computer and Information Research Scientists,Git,Y,Y
15-1221.00,Computer and Information Research Scientists,GitHub,Y,Y
15-1221.00,Computer and Information Research Scientists,GitLab,Y,N
15-1221.00,Computer and Information Research Scientists,Go,Y,Y
15-1221.00,Computer and Information Research Scientists,Google Ads,N,N
15-1221.00,Computer and Information Research Scientists,Google Analytics,Y,N
15-1221.00,Computer and Information Research Scientists,Grafana Labs Grafana Cloud,Y,Y
15-1221.00,Computer and Information Research Scientists,Graphics pipelines,N,N
15-1221.00,Computer and Information Research Scientists,Greenhills Ada compilers,N,N
15-1221.00,Computer and Information Research Scientists,High-performance software libraries,N,N
15-1221.00,Computer and Information Research Scientists,Hugging Face,N,Y
15-1221.00,Computer and Information Research Scientists,IBM Cognos Impromptu,N,N
15-1221.00,Computer and Information Research Scientists,IBM Domino,N,N
15-1221.00,Computer and Information Research Scientists,IBM InfoSphere DataStage,N,N
15-1221.00,Computer and Information Research Scientists,IBM Rational Apex,N,N
15-1221.00,Computer and Information Research Scientists,IBM Rational Rose XDE,N,N
15-1221.00,Computer and Information Research Scientists,IBM SPSS Statistics,Y,N
15-1221.00,Computer and Information Research Scientists,IBM Terraform,Y,Y
15-1221.00,Computer and Information Research Scientists,Integrated development environment IDE software,N,N
15-1221.00,Computer and Information Research Scientists,Intel Integrated Performance Primitives,N,N
15-1221.00,Computer and Information Research Scientists,Intel Math Kernel Library,N,N
15-1221.00,Computer and Information Research Scientists,JavaScript,Y,Y
15-1221.00,Computer and Information Research Scientists,Jenkins CI,Y,Y
15-1221.00,Computer and Information Research Scientists,Jupyter Notebook,N,N
15-1221.00,Computer and Information Research Scientists,Kubernetes,Y,Y
15-1221.00,Computer and Information Research Scientists,LangChain,N,Y
15-1221.00,Computer and Information Research Scientists,Linux,Y,Y
15-1221.00,Computer and Information Research Scientists,List processing language LISP,N,N
15-1221.00,Computer and Information Research Scientists,Low-level virtual machine LLVM compilers,N,N
15-1221.00,Computer and Information Research Scientists,Mathematical software,N,N
15-1221.00,Computer and Information Research Scientists,Microsoft ActiveX,N,N
15-1221.00,Computer and Information Research Scientists,Microsoft Azure software,Y,Y
15-1221.00,Computer and Information Research Scientists,Microsoft Dynamics,N,N
15-1221.00,Computer and Information Research Scientists,Microsoft Excel,Y,N
15-1221.00,Computer and Information Research Scientists,Microsoft Office software,Y,N
15-1221.00,Computer and Information Research Scientists,Microsoft Power BI,Y,N
15-1221.00,Computer and Information Research Scientists,Microsoft PowerPoint,Y,N
15-1221.00,Computer and Information Research Scientists,Microsoft Project,Y,N
15-1221.00,Computer and Information Research Scientists,Microsoft SQL Server,Y,N
15-1221.00,Computer and Information Research Scientists,Microsoft Visual Basic,Y,N
15-1221.00,Computer and Information Research Scientists,Microsoft Visual Basic for Applications VBA,Y,N
15-1221.00,Computer and Information Research Scientists,Microsoft Visual Basic Scripting Edition VBScript,N,N
15-1221.00,Computer and Information Research Scientists,Microsoft Visual Basic.NET,N,N
15-1221.00,Computer and Information Research Scientists,Microsoft Visual C# .NET,N,N
15-1221.00,Computer and Information Research Scientists,Microsoft Visual Studio,Y,N
15-1221.00,Computer and Information Research Scientists,Microsoft Visual Studio.NET,N,N
15-1221.00,Computer and Information Research Scientists,Microsoft Windows XP,N,N
15-1221.00,Computer and Information Research Scientists,MicroStrategy,N,N
15-1221.00,Computer and Information Research Scientists,Minitab,N,N
15-1221.00,Computer and Information Research Scientists,MongoDB,Y,N
15-1221.00,Computer and Information Research Scientists,Multisensory data representation software,N,N
15-1221.00,Computer and Information Research Scientists,MySQL,Y,N
15-1221.00,Computer and Information Research Scientists,National Instruments LabVIEW,N,N
15-1221.00,Computer and Information Research Scientists,Node.js,Y,N
15-1221.00,Computer and Information Research Scientists,NoSQL,Y,N
15-1221.00,Computer and Information Research Scientists,Object oriented development environment software,N,N
15-1221.00,Computer and Information Research Scientists,Open Graphics Library OpenGL,N,N
15-1221.00,Computer and Information Research Scientists,OpenAI ChatGPT,N,N
15-1221.00,Computer and Information Research Scientists,Optimization software,N,N
15-1221.00,Computer and Information Research Scientists,Oracle Business Intelligence Enterprise Edition,N,N
15-1221.00,Computer and Information Research Scientists,Oracle Database,Y,N
15-1221.00,Computer and Information Research Scientists,Oracle Java,Y,Y
15-1221.00,Computer and Information Research Scientists,Oracle Java 2 Platform Enterprise Edition J2EE,Y,N
15-1221.00,Computer and Information Research Scientists,Oracle Solaris,N,N
15-1221.00,Computer and Information Research Scientists,pandas,N,Y
15-1221.00,Computer and Information Research Scientists,Parallel systems software,N,N
15-1221.00,Computer and Information Research Scientists,Perforce Software Configuration Management System,N,N
15-1221.00,Computer and Information Research Scientists,Perl,Y,N
15-1221.00,Computer and Information Research Scientists,PHP,Y,N
15-1221.00,Computer and Information Research Scientists,Plug-in file software,N,N
15-1221.00,Computer and Information Research Scientists,Polaris parallelizing compilers,N,N
15-1221.00,Computer and Information Research Scientists,Polhemus Fasttrack System,N,N
15-1221.00,Computer and Information Research Scientists,PostgreSQL,Y,N
15-1221.00,Computer and Information Research Scientists,Prolog,N,N
15-1221.00,Computer and Information Research Scientists,Prometheus,Y,Y
15-1221.00,Computer and Information Research Scientists,PTC Creo Parametric,N,N
15-1221.00,Computer and Information Research Scientists,Puppet,Y,N
15-1221.00,Computer and Information Research Scientists,Python,Y,Y
15-1221.00,Computer and Information Research Scientists,PyTorch,Y,Y
15-1221.00,Computer and Information Research Scientists,Qlik Tech QlikView,N,N
15-1221.00,Computer and Information Research Scientists,Quest Erwin Data Modeler,N,N
15-1221.00,Computer and Information Research Scientists,R,Y,Y
15-1221.00,Computer and Information Research Scientists,Redis,Y,N
15-1221.00,Computer and Information Research Scientists,Relational database management software,N,N
15-1221.00,Computer and Information Research Scientists,Relational database management system software,N,N
15-1221.00,Computer and Information Research Scientists,Rice Simulator for ILP Multiprocessors RSIM,N,N
15-1221.00,Computer and Information Research Scientists,Ruby,Y,N
15-1221.00,Computer and Information Research Scientists,SAP Business Objects,N,N
15-1221.00,Computer and Information Research Scientists,SAS,Y,N
15-1221.00,Computer and Information Research Scientists,Scala,Y,Y
15-1221.00,Computer and Information Research Scientists,Scikit-learn,N,Y
15-1221.00,Computer and Information Research Scientists,Shell script,Y,N
15-1221.00,Computer and Information Research Scientists,Simulation software,N,N
15-1221.00,Computer and Information Research Scientists,Snowflake,Y,Y
15-1221.00,Computer and Information Research Scientists,Software libraries,N,N
15-1221.00,Computer and Information Research Scientists,Source code management SCM software,N,N
15-1221.00,Computer and Information Research Scientists,Splunk Enterprise,Y,N
15-1221.00,Computer and Information Research Scientists,StataCorp Stata,N,N
15-1221.00,Computer and Information Research Scientists,Structured query language SQL,Y,Y
15-1221.00,Computer and Information Research Scientists,System testing software,N,N
15-1221.00,Computer and Information Research Scientists,Tableau,Y,N
15-1221.00,Computer and Information Research Scientists,TensorFlow,Y,Y
15-1221.00,Computer and Information Research Scientists,Teradata Database,Y,N
15-1221.00,Computer and Information Research Scientists,The MathWorks MATLAB,Y,N
15-1221.00,Computer and Information Research Scientists,Transact-SQL,Y,N
15-1221.00,Computer and Information Research Scientists,Ubuntu,N,N
15-1221.00,Computer and Information Research Scientists,Unified modeling language UML,N,N
15-1221.00,Computer and Information Research Scientists,UNIX,Y,N
15-1221.00,Computer and Information Research Scientists,UNIX Shell,Y,N
15-1221.00,Computer and Information Research Scientists,Vector database software,N,Y
15-1221.00,Computer and Information Research Scientists,Verilog,N,N
15-1221.00,Computer and Information Research Scientists,Video editing software,N,N
15-1221.00,Computer and Information Research Scientists,VME PowerPC VxWorks,N,N
15-1221.00,Computer and Information Research Scientists,Waikato Environment for Knowledge Analysis Weka,N,N
15-1231.00,Computer Network Support Specialists,Adobe Acrobat,Y,N
15-1231.00,Computer Network Support Specialists,Anti-spyware software,N,N
15-1231.00,Computer Network Support Specialists,Antivirus software,N,N
15-1231.00,Computer Network Support Specialists,Apache Tomcat,Y,N
15-1231.00,Computer Network Support Specialists,Apple macOS,Y,Y
15-1231.00,Computer Network Support Specialists,Application management software,N,N
15-1231.00,Computer Network Support Specialists,Arping,N,N
15-1231.00,Computer Network Support Specialists,Automated installation software,N,N
15-1231.00,Computer Network Support Specialists,B&W Port Scanner,N,N
15-1231.00,Computer Network Support Specialists,Bash,Y,N
15-1231.00,Computer Network Support Specialists,Bentley Systems ProjectWise,N,N
15-1231.00,Computer Network Support Specialists,BitWizard B.V. mtr,N,N
15-1231.00,Computer Network Support Specialists,BlackBerry Enterprise Server,N,N
15-1231.00,Computer Network Support Specialists,BMC Software Control-M,N,N
15-1231.00,Computer Network Support Specialists,BMC Software Remedy IT Service Management Suite,N,N
15-1231.00,Computer Network Support Specialists,Border Gateway Protocol BGP,Y,N
15-1231.00,Computer Network Support Specialists,Cisco Systems Cisco NetFlow Collection Engine,N,N
15-1231.00,Computer Network Support Specialists,Cisco Systems Cisco Traffic Analyzer,N,N
15-1231.00,Computer Network Support Specialists,Cisco Systems CiscoWorks,N,N
15-1231.00,Computer Network Support Specialists,Cisco Systems CiscoWorks LAN Management Solution,N,N
15-1231.00,Computer Network Support Specialists,Citrix cloud computing software,N,N
15-1231.00,Computer Network Support Specialists,Clarified Networks Clarified Analyzer,N,N
15-1231.00,Computer Network Support Specialists,Colasoft Capsa Enterprise,N,N
15-1231.00,Computer Network Support Specialists,Colasoft Capsa Free,N,N
15-1231.00,Computer Network Support Specialists,Compuware ClientVantage Agentless Monitoring,N,N
15-1231.00,Computer Network Support Specialists,Congruity Technologies Inspector,N,N
15-1231.00,Computer Network Support Specialists,Connectivity software,N,N
15-1231.00,Computer Network Support Specialists,Customer information control system CICS,N,N
15-1231.00,Computer Network Support Specialists,Dartware InterMapper,N,N
15-1231.00,Computer Network Support Specialists,Database management software,N,N
15-1231.00,Computer Network Support Specialists,Dig,N,N
15-1231.00,Computer Network Support Specialists,EMC Ionix Network Configuration Manager,N,N
15-1231.00,Computer Network Support Specialists,EMC NetWorker,N,N
15-1231.00,Computer Network Support Specialists,EMC Symmetrix DMX,N,N
15-1231.00,Computer Network Support Specialists,Encryption software,N,N
15-1231.00,Computer Network Support Specialists,Ethereal,N,N
15-1231.00,Computer Network Support Specialists,Ettercap NG,N,N
15-1231.00,Computer Network Support Specialists,File server software,N,N
15-1231.00,Computer Network Support Specialists,Firewall software,N,Y
15-1231.00,Computer Network Support Specialists,Fluke Networks Enterprise LANMeter,N,N
15-1231.00,Computer Network Support Specialists,Help desk software,N,N
15-1231.00,Computer Network Support Specialists,Hewlett Packard HP-UX,N,N
15-1231.00,Computer Network Support Specialists,Hewlett-Packard HP Network Node Manager,N,N
15-1231.00,Computer Network Support Specialists,IBM AIX,N,N
15-1231.00,Computer Network Support Specialists,IBM Domino,N,N
15-1231.00,Computer Network Support Specialists,IBM Notes,N,N
15-1231.00,Computer Network Support Specialists,IBM Power Systems software,N,N
15-1231.00,Computer Network Support Specialists,IBM Security Network Intrusion Prevention System,N,N
15-1231.00,Computer Network Support Specialists,IBM Tivoli NetView Distribution Manager,N,N
15-1231.00,Computer Network Support Specialists,IBM WebSphere,N,N
15-1231.00,Computer Network Support Specialists,ifconfig,N,N
15-1231.00,Computer Network Support Specialists,Intrusion prevention system IPS,N,N
15-1231.00,Computer Network Support Specialists,ipconfig,N,N
15-1231.00,Computer Network Support Specialists,Job control language JCL,N,N
15-1231.00,Computer Network Support Specialists,KornShell,N,N
15-1231.00,Computer Network Support Specialists,LAMP Stack,N,N
15-1231.00,Computer Network Support Specialists,Linux,Y,Y
15-1231.00,Computer Network Support Specialists,Load testing software,N,N
15-1231.00,Computer Network Support Specialists,LogMatrix NerveCenter,N,N
15-1231.00,Computer Network Support Specialists,McAfee,N,N
15-1231.00,Computer Network Support Specialists,Microsoft Access,Y,N
15-1231.00,Computer Network Support Specialists,Microsoft Active Directory,Y,Y
15-1231.00,Computer Network Support Specialists,Microsoft Azure software,Y,N
15-1231.00,Computer Network Support Specialists,Microsoft Dynamics,N,N
15-1231.00,Computer Network Support Specialists,Microsoft Excel,Y,Y
15-1231.00,Computer Network Support Specialists,Microsoft Exchange,N,N
15-1231.00,Computer Network Support Specialists,Microsoft Hyper-V Server,N,N
15-1231.00,Computer Network Support Specialists,Microsoft Internet Information Services (IIS),N,N
15-1231.00,Computer Network Support Specialists,Microsoft Network Monitor,N,N
15-1231.00,Computer Network Support Specialists,Microsoft Office software,Y,Y
15-1231.00,Computer Network Support Specialists,Microsoft Outlook,Y,Y
15-1231.00,Computer Network Support Specialists,Microsoft PowerPoint,Y,N
15-1231.00,Computer Network Support Specialists,Microsoft PowerShell,Y,N
15-1231.00,Computer Network Support Specialists,Microsoft Project,Y,N
15-1231.00,Computer Network Support Specialists,Microsoft SharePoint,Y,N
15-1231.00,Computer Network Support Specialists,Microsoft SQL Server,Y,N
15-1231.00,Computer Network Support Specialists,Microsoft Visual Basic,Y,N
15-1231.00,Computer Network Support Specialists,Microsoft Visual Basic Scripting Edition VBScript,N,N
15-1231.00,Computer Network Support Specialists,Microsoft Windows,Y,Y
15-1231.00,Computer Network Support Specialists,Microsoft Windows PowerShell,N,N
15-1231.00,Computer Network Support Specialists,Microsoft Windows Server,Y,Y
15-1231.00,Computer Network Support Specialists,Microsoft Windows Sysprep,N,N
15-1231.00,Computer Network Support Specialists,Microsoft Word,Y,N
15-1231.00,Computer Network Support Specialists,MySQL,Y,N
15-1231.00,Computer Network Support Specialists,Nagios,N,N
15-1231.00,Computer Network Support Specialists,nbtstat,N,N
15-1231.00,Computer Network Support Specialists,NetScout Sniffer Global Analyzer,N,N
15-1231.00,Computer Network Support Specialists,NetScout Sniffer Portable Professional Analyzer,N,N
15-1231.00,Computer Network Support Specialists,netstat,N,N
15-1231.00,Computer Network Support Specialists,Network and system vulnerability assessment software,N,N
15-1231.00,Computer Network Support Specialists,Network design software,N,N
15-1231.00,Computer Network Support Specialists,Network Instruments Observer Standard,N,N
15-1231.00,Computer Network Support Specialists,Network intrusion detection software,N,N
15-1231.00,Computer Network Support Specialists,ngrep,N,N
15-1231.00,Computer Network Support Specialists,NIKSUN NetDetector,N,N
15-1231.00,Computer Network Support Specialists,Norton AntiVirus,N,N
15-1231.00,Computer Network Support Specialists,NortonLifeLock cybersecurity software,N,N
15-1231.00,Computer Network Support Specialists,NovaStor NovaBACKUP,N,N
15-1231.00,Computer Network Support Specialists,Novell eDirectory,N,N
15-1231.00,Computer Network Support Specialists,Nslookup,N,N
15-1231.00,Computer Network Support Specialists,OPNET SP Sentinel,N,N
15-1231.00,Computer Network Support Specialists,Oracle Java,Y,N
15-1231.00,Computer Network Support Specialists,Oracle Solaris,N,N
15-1231.00,Computer Network Support Specialists,Packet analyzers,N,N
15-1231.00,Computer Network Support Specialists,Packet filter software,N,N
15-1231.00,Computer Network Support Specialists,Patch and update management software,N,N
15-1231.00,Computer Network Support Specialists,Perl,Y,N
15-1231.00,Computer Network Support Specialists,Ping Identity,N,N
15-1231.00,Computer Network Support Specialists,Port scanners,N,N
15-1231.00,Computer Network Support Specialists,Project planning software,N,N
15-1231.00,Computer Network Support Specialists,Python,Y,N
15-1231.00,Computer Network Support Specialists,Red Hat Enterprise Linux,Y,N
15-1231.00,Computer Network Support Specialists,Remote control software,N,N
15-1231.00,Computer Network Support Specialists,Root kit detection software,N,N
15-1231.00,Computer Network Support Specialists,Route,N,N
15-1231.00,Computer Network Support Specialists,Roxio Retrospect,N,N
15-1231.00,Computer Network Support Specialists,Ruby,Y,N
15-1231.00,Computer Network Support Specialists,Security incident management software,N,N
15-1231.00,Computer Network Support Specialists,ServiceNow,Y,Y
15-1231.00,Computer Network Support Specialists,Shell script,Y,N
15-1231.00,Computer Network Support Specialists,SolarWinds,N,N
15-1231.00,Computer Network Support Specialists,Sonicwall SonicOS Enhanced,N,N
15-1231.00,Computer Network Support Specialists,Splunk Enterprise,Y,N
15-1231.00,Computer Network Support Specialists,Storage area network SAN software,N,N
15-1231.00,Computer Network Support Specialists,Structured query language SQL,Y,N
15-1231.00,Computer Network Support Specialists,Symantec pcAnywhere,N,N
15-1231.00,Computer Network Support Specialists,Symantec Veritas NetBackup,N,N
15-1231.00,Computer Network Support Specialists,Tape backup system software,N,N
15-1231.00,Computer Network Support Specialists,Tcpdump,N,N
15-1231.00,Computer Network Support Specialists,Teradata Database,Y,N
15-1231.00,Computer Network Support Specialists,Traceroute,N,N
15-1231.00,Computer Network Support Specialists,Traffic shapers,N,N
15-1231.00,Computer Network Support Specialists,Ubuntu,N,N
15-1231.00,Computer Network Support Specialists,UNIX,Y,N
15-1231.00,Computer Network Support Specialists,UNIX Shell,Y,N
15-1231.00,Computer Network Support Specialists,Veritas NetBackup,N,N
15-1231.00,Computer Network Support Specialists,Virtual private networking VPN software,N,N
15-1231.00,Computer Network Support Specialists,VMware,N,N
15-1231.00,Computer Network Support Specialists,Voice over internet protocol VoIP system software,N,N
15-1231.00,Computer Network Support Specialists,WildPackets OmniPeek Network Analyzer,N,N
15-1231.00,Computer Network Support Specialists,Wireshark,N,N
15-1231.00,Computer Network Support Specialists,Zabbix,N,N
15-1232.00,Computer User Support Specialists,3M Post-it App,N,N
15-1232.00,Computer User Support Specialists,Active directory software,N,N
15-1232.00,Computer User Support Specialists,Adobe Acrobat,Y,N
15-1232.00,Computer User Support Specialists,Adobe ActionScript,N,N
15-1232.00,Computer User Support Specialists,Adobe Creative Cloud software,Y,N
15-1232.00,Computer User Support Specialists,Adobe Distiller,N,N
15-1232.00,Computer User Support Specialists,Adobe Dreamweaver,N,N
15-1232.00,Computer User Support Specialists,Adobe Illustrator,Y,N
15-1232.00,Computer User Support Specialists,Adobe InDesign,Y,N
15-1232.00,Computer User Support Specialists,Adobe Photoshop,Y,N
15-1232.00,Computer User Support Specialists,Advanced business application programming ABAP,N,N
15-1232.00,Computer User Support Specialists,AJAX,Y,N
15-1232.00,Computer User Support Specialists,Amazon Redshift,Y,N
15-1232.00,Computer User Support Specialists,Amazon Web Services AWS software,Y,N
15-1232.00,Computer User Support Specialists,Ansible software,Y,N
15-1232.00,Computer User Support Specialists,Apache Ant,N,N
15-1232.00,Computer User Support Specialists,Apache Cassandra,Y,N
15-1232.00,Computer User Support Specialists,Apache Groovy,N,N
15-1232.00,Computer User Support Specialists,Apache Hadoop,Y,N
15-1232.00,Computer User Support Specialists,Apache Hive,Y,N
15-1232.00,Computer User Support Specialists,Apache HTTP Server,N,N
15-1232.00,Computer User Support Specialists,Apache Kafka,Y,N
15-1232.00,Computer User Support Specialists,Apache Maven,Y,N
15-1232.00,Computer User Support Specialists,Apache Pig,N,N
15-1232.00,Computer User Support Specialists,Apache Solr,N,N
15-1232.00,Computer User Support Specialists,Apache Struts,N,N
15-1232.00,Computer User Support Specialists,Apache Subversion SVN,Y,N
15-1232.00,Computer User Support Specialists,Apache Tomcat,Y,N
15-1232.00,Computer User Support Specialists,Apple Final Cut Pro,N,N
15-1232.00,Computer User Support Specialists,Apple iOS,Y,Y
15-1232.00,Computer User Support Specialists,Apple macOS,Y,Y
15-1232.00,Computer User Support Specialists,Atlassian Bamboo,N,N
15-1232.00,Computer User Support Specialists,Atlassian Confluence,Y,N
15-1232.00,Computer User Support Specialists,Atlassian JIRA,Y,N
15-1232.00,Computer User Support Specialists,Autodesk AutoCAD,Y,N
15-1232.00,Computer User Support Specialists,Autodesk Revit,Y,N
15-1232.00,Computer User Support Specialists,Automated installation software,N,N
15-1232.00,Computer User Support Specialists,Bash,Y,N
15-1232.00,Computer User Support Specialists,Bentley MicroStation,Y,N
15-1232.00,Computer User Support Specialists,Blackboard software,N,N
15-1232.00,Computer User Support Specialists,Blink,N,N
15-1232.00,Computer User Support Specialists,C,Y,N
15-1232.00,Computer User Support Specialists,C#,Y,N
15-1232.00,Computer User Support Specialists,C++,Y,N
15-1232.00,Computer User Support Specialists,Call center software,N,N
15-1232.00,Computer User Support Specialists,Cascading style sheets CSS,Y,N
15-1232.00,Computer User Support Specialists,Chef,Y,N
15-1232.00,Computer User Support Specialists,Cisco IOS,N,N
15-1232.00,Computer User Support Specialists,Cisco Webex,Y,N
15-1232.00,Computer User Support Specialists,Citrix cloud computing software,N,N
15-1232.00,Computer User Support Specialists,Common business oriented language COBOL,N,N
15-1232.00,Computer User Support Specialists,CrossTec NetOp Remote Control,N,N
15-1232.00,Computer User Support Specialists,Customer information control system CICS,N,N
15-1232.00,Computer User Support Specialists,Dartware InterMapper,N,N
15-1232.00,Computer User Support Specialists,Dassault Systemes CATIA,N,N
15-1232.00,Computer User Support Specialists,Dassault Systemes SolidWorks,Y,N
15-1232.00,Computer User Support Specialists,Data entry software,N,N
15-1232.00,Computer User Support Specialists,Database software,N,N
15-1232.00,Computer User Support Specialists,Defect tracking software,N,N
15-1232.00,Computer User Support Specialists,Delphi Technology,N,N
15-1232.00,Computer User Support Specialists,Deployment software,N,N
15-1232.00,Computer User Support Specialists,Desktop partitioning software,N,N
15-1232.00,Computer User Support Specialists,Disaster recovery software,N,N
15-1232.00,Computer User Support Specialists,Django,Y,N
15-1232.00,Computer User Support Specialists,Docker,Y,N
15-1232.00,Computer User Support Specialists,Domain name system DNS,N,N
15-1232.00,Computer User Support Specialists,Dropbox,N,N
15-1232.00,Computer User Support Specialists,Drupal,N,N
15-1232.00,Computer User Support Specialists,Dynamic hypertext markup language DHTML,N,N
15-1232.00,Computer User Support Specialists,Eclipse IDE,Y,N
15-1232.00,Computer User Support Specialists,Elasticsearch,Y,N
15-1232.00,Computer User Support Specialists,Element management software,N,N
15-1232.00,Computer User Support Specialists,Encryption software,N,N
15-1232.00,Computer User Support Specialists,Enterprise JavaBeans,N,N
15-1232.00,Computer User Support Specialists,Epic Systems,Y,N
15-1232.00,Computer User Support Specialists,ESRI ArcGIS software,Y,N
15-1232.00,Computer User Support Specialists,Event log monitor software,N,N
15-1232.00,Computer User Support Specialists,Ext JS,N,N
15-1232.00,Computer User Support Specialists,Extensible hypertext markup language XHTML,N,N
15-1232.00,Computer User Support Specialists,Extensible markup language XML,Y,N
15-1232.00,Computer User Support Specialists,Facebook,Y,N
15-1232.00,Computer User Support Specialists,FileMaker Pro,N,N
15-1232.00,Computer User Support Specialists,Firewall software,N,Y
15-1232.00,Computer User Support Specialists,Flipgrid,N,N
15-1232.00,Computer User Support Specialists,Fund accounting software,N,N
15-1232.00,Computer User Support Specialists,Geographic information system GIS software,N,N
15-1232.00,Computer User Support Specialists,Git,Y,N
15-1232.00,Computer User Support Specialists,GitHub,Y,N
15-1232.00,Computer User Support Specialists,Google Android,Y,N
15-1232.00,Computer User Support Specialists,Google Angular,Y,N
15-1232.00,Computer User Support Specialists,Google Classroom,N,N
15-1232.00,Computer User Support Specialists,Google Docs,Y,N
15-1232.00,Computer User Support Specialists,Google Drive,N,N
15-1232.00,Computer User Support Specialists,Google Meet,N,N
15-1232.00,Computer User Support Specialists,Google Sites,N,N
15-1232.00,Computer User Support Specialists,Help desk software,N,N
15-1232.00,Computer User Support Specialists,Hewlett Packard HP-UX,N,N
15-1232.00,Computer User Support Specialists,Hewlett Packard LoadRunner,N,N
15-1232.00,Computer User Support Specialists,Hibernate ORM,Y,N
15-1232.00,Computer User Support Specialists,Human resource management software HRMS,N,N
15-1232.00,Computer User Support Specialists,Hypertext markup language HTML,Y,N
15-1232.00,Computer User Support Specialists,IBM Cognos Impromptu,N,N
15-1232.00,Computer User Support Specialists,IBM Domino,N,N
15-1232.00,Computer User Support Specialists,IBM InfoSphere DataStage,N,N
15-1232.00,Computer User Support Specialists,IBM Notes,N,N
15-1232.00,Computer User Support Specialists,IBM Power Systems software,N,N
15-1232.00,Computer User Support Specialists,IBM WebSphere,N,N
15-1232.00,Computer User Support Specialists,Information systems integration software,N,N
15-1232.00,Computer User Support Specialists,Integrated development environment IDE software,N,N
15-1232.00,Computer User Support Specialists,iPro,N,N
15-1232.00,Computer User Support Specialists,JavaScript,Y,N
15-1232.00,Computer User Support Specialists,JavaScript Object Notation JSON,Y,N
15-1232.00,Computer User Support Specialists,Job control language JCL,N,N
15-1232.00,Computer User Support Specialists,jQuery,Y,N
15-1232.00,Computer User Support Specialists,JUnit,Y,N
15-1232.00,Computer User Support Specialists,KornShell,N,N
15-1232.00,Computer User Support Specialists,LAMP Stack,N,N
15-1232.00,Computer User Support Specialists,LexisNexis,N,N
15-1232.00,Computer User Support Specialists,Linux,Y,Y
15-1232.00,Computer User Support Specialists,LogMeIn GoToMeeting,N,N
15-1232.00,Computer User Support Specialists,LogMeIn GoToWebinar,N,N
15-1232.00,Computer User Support Specialists,Lucid IQ CMP,N,N
15-1232.00,Computer User Support Specialists,Mac HelpMate,N,N
15-1232.00,Computer User Support Specialists,Marketo Marketing Automation,Y,N
15-1232.00,Computer User Support Specialists,McAfee,N,N
15-1232.00,Computer User Support Specialists,Media storage management software,N,N
15-1232.00,Computer User Support Specialists,MEDITECH software,Y,N
15-1232.00,Computer User Support Specialists,Microsoft .NET Framework,Y,N
15-1232.00,Computer User Support Specialists,Microsoft Access,Y,N
15-1232.00,Computer User Support Specialists,Microsoft Active Directory,Y,Y
15-1232.00,Computer User Support Specialists,Microsoft Active Server Pages ASP,Y,N
15-1232.00,Computer User Support Specialists,Microsoft ActiveX,N,N
15-1232.00,Computer User Support Specialists,Microsoft ASP.NET,Y,N
15-1232.00,Computer User Support Specialists,Microsoft ASP.NET Core MVC,N,N
15-1232.00,Computer User Support Specialists,Microsoft Azure software,Y,Y
15-1232.00,Computer User Support Specialists,Microsoft Dynamics,N,N
15-1232.00,Computer User Support Specialists,Microsoft Dynamics GP,N,N
15-1232.00,Computer User Support Specialists,Microsoft Excel,Y,Y
15-1232.00,Computer User Support Specialists,Microsoft Exchange,N,N
15-1232.00,Computer User Support Specialists,Microsoft Office software,Y,Y
15-1232.00,Computer User Support Specialists,Microsoft OneNote,N,N
15-1232.00,Computer User Support Specialists,Microsoft Outlook,Y,Y
15-1232.00,Computer User Support Specialists,Microsoft PowerPoint,Y,N
15-1232.00,Computer User Support Specialists,Microsoft PowerShell,Y,N
15-1232.00,Computer User Support Specialists,Microsoft Project,Y,N
15-1232.00,Computer User Support Specialists,Microsoft Publisher,N,N
15-1232.00,Computer User Support Specialists,Microsoft SharePoint,Y,N
