EmployeeNumber,JobRole,ONETRole,SkillGap,SkillGapCount
362,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
363,Manager,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
364,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
366,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
367,Healthcare Representative,Sales Representatives of Services,,0
369,Healthcare Representative,Sales Representatives of Services,,0
372,Healthcare Representative,Sales Representatives of Services,,0
373,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
374,Manager,General and Operations Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
376,Manager,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7
377,Research Scientist,Biological Scientists,,0
378,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7
379,Research Scientist,Biological Scientists,,0
380,Research Director,Natural Sciences Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
381,Manager,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7
382,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
384,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
385,Research Director,Natural Sciences Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
386,Research Director,Natural Sciences Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
387,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
388,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",7
389,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9
390,Healthcare Representative,Sales Representatives of Services,,0
391,Research Scientist,Biological Scientists,,0
392,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8
393,Healthcare Representative,Sales Representatives of Services,,0
394,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
395,Research Scientist,Biological Scientists,,0
396,Research Director,Natural Sciences Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
397,Research Scientist,Biological Scientists,,0
399,Sales Representative,Sales Representatives of Services,,0
401,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science",6
403,Research Scientist,Biological Scientists,,0
404,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
405,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8
406,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7
407,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
408,Manufacturing Director,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
410,Manager,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
411,Sales Representative,Sales Representatives of Services,,0
412,Healthcare Representative,Sales Representatives of Services,,0
416,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
417,Healthcare Representative,Sales Representatives of Services,,0
419,Laboratory Technician,Biological Technicians,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",7
420,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
421,Research Director,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9
422,Healthcare Representative,Sales Representatives of Services,,0
423,Research Scientist,Biological Scientists,,0
424,Human Resources,Human Resources Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
425,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
426,Research Scientist,Biological Scientists,,0
428,Manager,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
429,Manager,General and Operations Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
430,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9
431,Healthcare Representative,Sales Representatives of Services,,0
433,Research Scientist,Biological Scientists,,0
434,Research Scientist,Biological Scientists,,0
436,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8
437,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
438,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
439,Research Scientist,Biological Scientists,,0
440,Research Scientist,Biological Scientists,,0
441,Research Scientist,Biological Scientists,,0
442,Manufacturing Director,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
444,Manager,General and Operations Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
445,Sales Executive,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
446,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
447,Research Director,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science",7
448,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",8
449,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8
450,Research Scientist,Biological Scientists,,0
451,Healthcare Representative,Sales Representatives of Services,,0
452,Research Scientist,Biological Scientists,,0
453,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7
454,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7
455,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
456,Sales Executive,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",7
458,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
460,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
461,Research Director,Natural Sciences Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
462,Manufacturing Director,Industrial Production Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Science",5
463,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
464,Manufacturing Director,Industrial Production Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
465,Research Scientist,Biological Scientists,,0
466,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
467,Sales Representative,Sales Representatives of Services,,0
468,Research Director,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
469,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",8
470,Human Resources,Human Resources Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8
471,Laboratory Technician,Biological Technicians,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
473,Manager,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
474,Research Scientist,Biological Scientists,,0
475,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
476,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
477,Healthcare Representative,Sales Representatives of Services,,0
478,Sales Representative,Sales Representatives of Services,,0
479,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8
481,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",8
482,Healthcare Representative,Sales Representatives of Services,,0
483,Laboratory Technician,Biological Technicians,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
484,Sales Representative,Sales Representatives of Services,,0
485,Sales Representative,Sales Representatives of Services,,0
486,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
487,Manufacturing Director,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
488,Sales Executive,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
491,Healthcare Representative,Sales Representatives of Services,,0
492,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
493,Research Scientist,Biological Scientists,,0
494,Sales Representative,Sales Representatives of Services,,0
495,Research Scientist,Biological Scientists,,0
496,Healthcare Representative,Sales Representatives of Services,,0
497,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7
498,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
499,Healthcare Representative,Sales Representatives of Services,,0
500,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
501,Research Scientist,Biological Scientists,,0
502,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
505,Manager,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
507,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
508,Sales Representative,Sales Representatives of Services,,0
510,Research Scientist,Biological Scientists,,0
511,Research Scientist,Biological Scientists,,0
513,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
514,Research Scientist,Biological Scientists,,0
515,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
516,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
517,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",8
518,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
520,Research Director,Natural Sciences Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
521,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
522,Research Director,Natural Sciences Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",7
523,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7
524,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
525,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",7
526,Healthcare Representative,Sales Representatives of Services,,0
527,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",8
529,Research Scientist,Biological Scientists,,0
530,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Writing",7
531,Manager,General and Operations Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
532,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9
533,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
534,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
536,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
538,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8
543,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
544,Research Scientist,Biological Scientists,,0
546,Manager,General and Operations Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
547,Research Scientist,Biological Scientists,,0
548,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8
549,Manager,General and Operations Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
550,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9
551,Healthcare Representative,Sales Representatives of Services,,0
554,Sales Representative,Sales Representatives of Services,,0
555,Sales Representative,Sales Representatives of Services,,0
556,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
558,Manager,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
560,Research Scientist,Biological Scientists,,0
562,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9
564,Research Director,Natural Sciences Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
565,Research Scientist,Biological Scientists,,0
566,Human Resources,Human Resources Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9
567,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",8
568,Manager,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Writing",7
569,Manager,General and Operations Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9
571,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9
573,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",7
574,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",8
575,Research Director,Natural Sciences Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
577,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
578,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
579,Research Scientist,Biological Scientists,,0
580,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
581,Manufacturing Director,Industrial Production Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Science, Writing",6
582,Manager,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Writing",7
584,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
585,Sales Representative,Sales Representatives of Services,,0
586,Healthcare Representative,Sales Representatives of Services,,0
587,Healthcare Representative,Sales Representatives of Services,,0
590,Human Resources,Human Resources Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
591,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
592,Sales Executive,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
593,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
595,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
597,Manager,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
599,Sales Executive,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
600,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Writing",7
601,Manufacturing Director,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
602,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
604,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
605,Manufacturing Director,Industrial Production Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
606,Sales Executive,Sales Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",8
608,Human Resources,Human Resources Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",6
611,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Writing",7
612,Research Director,Natural Sciences Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7
613,Manager,General and Operations Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
614,Sales Representative,Sales Representatives of Services,,0
615,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9
616,Healthcare Representative,Sales Representatives of Services,,0
618,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",8
620,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
621,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9
622,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9
623,Manufacturing Director,Industrial Production Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",9
624,Healthcare Representative,Sales Representatives of Services,,0
625,Manager,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
626,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
630,Research Scientist,Biological Scientists,,0
631,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7
632,Sales Representative,Sales Representatives of Services,,0
634,Healthcare Representative,Sales Representatives of Services,,0
635,Manufacturing Director,Industrial Production Managers,"Active Learning, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",7
638,Research Director,Natural Sciences Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
639,Research Scientist,Biological Scientists,,0
641,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking",9
643,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",8
644,Manager,General and Operations Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
645,Sales Representative,Sales Representatives of Services,,0
647,Laboratory Technician,Biological Technicians,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Science, Speaking, Writing",8
648,Sales Representative,Sales Representatives of Services,,0
649,Research Scientist,Biological Scientists,,0
650,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
652,Laboratory Technician,Biological Technicians,"Active Learning, Learning Strategies, Mathematics, Monitoring, Science, Writing",6
653,Sales Executive,Sales Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Science, Speaking",7
655,Research Scientist,Biological Scientists,,0
656,Sales Executive,Sales Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",8
657,Research Scientist,Biological Scientists,,0
659,Healthcare Representative,Sales Representatives of Services,,0
661,Research Director,Natural Sciences Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science",7
662,Research Scientist,Biological Scientists,,0
663,Laboratory Technician,Biological Technicians,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
664,Manager,General and Operations Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",10
665,Human Resources,Human Resources Managers,"Active Learning, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
666,Sales Representative,Sales Representatives of Services,,0
667,Sales Representative,Sales Representatives of Services,,0
669,Sales Representative,Sales Representatives of Services,,0
671,Manager,General and Operations Managers,"Active Learning, Active Listening, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Speaking, Writing",9
675,Research Scientist,Biological Scientists,,0
677,Sales Executive,Sales Managers,"Active Learning, Active Listening, Critical Thinking, Learning Strategies, Mathematics, Monitoring, Reading Comprehension, Science, Writing",9
